"Category","연령대"
"18세 ~ 19세",44
"20세 ~ 24세",557
"25세 ~ 29세",1793
"30세 ~ 34세",4050
"35세 ~ 39세",7903
"40세 ~ 44세",12642
"45세 ~ 49세",20522
"50세 ~ 54세",21395
"55세 ~ 59세",20345
"60세 ~ 64세",11774
"65세 ~ 69세",7577
"70세 ~ 74세",3735
"75세 이상",1823
