"Category","연령대"
"18세 ~ 19세",358
"20세 ~ 24세",2541
"25세 ~ 29세",7724
"30세 ~ 34세",17630
"35세 ~ 39세",34579
"40세 ~ 44세",62205
"45세 ~ 49세",74394
"50세 ~ 54세",47573
"55세 ~ 59세",30068
"60세 ~ 64세",15190
"65세 ~ 69세",9576
"70세 ~ 74세",4411
"75세 이상",1867
