"Category","연령대"
"18세 ~ 19세",1
"20세 ~ 24세",97
"25세 ~ 29세",474
"30세 ~ 34세",1328
"35세 ~ 39세",2889
"40세 ~ 44세",4881
"45세 ~ 49세",6074
"50세 ~ 54세",4316
"55세 ~ 59세",3026
"60세 ~ 64세",1531
"65세 ~ 69세",954
"70세 ~ 74세",490
"75세 이상",233
