"Category","연령대"
"18세 ~ 19세",3
"20세 ~ 24세",231
"25세 ~ 29세",1006
"30세 ~ 34세",2391
"35세 ~ 39세",4657
"40세 ~ 44세",7927
"45세 ~ 49세",9624
"50세 ~ 54세",6507
"55세 ~ 59세",4158
"60세 ~ 64세",2258
"65세 ~ 69세",1420
"70세 ~ 74세",700
"75세 이상",284
