"Category","연령대"
"18세 ~ 19세",56026
"20세 ~ 24세",170958
"25세 ~ 29세",188681
"30세 ~ 34세",291530
"35세 ~ 39세",460763
"40세 ~ 44세",681988
"45세 ~ 49세",925066
"50세 ~ 54세",828531
"55세 ~ 59세",697366
"60세 ~ 64세",430887
"65세 ~ 69세",315482
"70세 ~ 74세",170501
"75세 이상",98809
