"Category","연령대"
"18세 ~ 19세",38
"20세 ~ 24세",628
"25세 ~ 29세",2417
"30세 ~ 34세",6950
"35세 ~ 39세",15241
"40세 ~ 44세",24183
"45세 ~ 49세",33259
"50세 ~ 54세",30999
"55세 ~ 59세",26095
"60세 ~ 64세",14719
"65세 ~ 69세",9651
"70세 ~ 74세",5198
"75세 이상",2541
