"Category","연령대"
"18세 ~ 19세",35
"20세 ~ 24세",1189
"25세 ~ 29세",4787
"30세 ~ 34세",12298
"35세 ~ 39세",25596
"40세 ~ 44세",41200
"45세 ~ 49세",54326
"50세 ~ 54세",47202
"55세 ~ 59세",37548
"60세 ~ 64세",20543
"65세 ~ 69세",13224
"70세 ~ 74세",6510
"75세 이상",2798
