"Category","연령대"
"18세 ~ 19세",7
"20세 ~ 24세",393
"25세 ~ 29세",2002
"30세 ~ 34세",6303
"35세 ~ 39세",14070
"40세 ~ 44세",21392
"45세 ~ 49세",27139
"50세 ~ 54세",23999
"55세 ~ 59세",19914
"60세 ~ 64세",11385
"65세 ~ 69세",7475
"70세 ~ 74세",4132
"75세 이상",1964
