"Category","연령대"
"18세 ~ 19세",1
"20세 ~ 24세",32
"25세 ~ 29세",158
"30세 ~ 34세",588
"35세 ~ 39세",1507
"40세 ~ 44세",2426
"45세 ~ 49세",3678
"50세 ~ 54세",3351
"55세 ~ 59세",2736
"60세 ~ 64세",1288
"65세 ~ 69세",765
"70세 ~ 74세",402
"75세 이상",199
