"Category","연령대"
"18세 ~ 19세",435
"20세 ~ 24세",4149
"25세 ~ 29세",13431
"30세 ~ 34세",43951
"35세 ~ 39세",95696
"40세 ~ 44세",143342
"45세 ~ 49세",173815
"50세 ~ 54세",132222
"55세 ~ 59세",91246
"60세 ~ 64세",46205
"65세 ~ 69세",29006
"70세 ~ 74세",14422
"75세 이상",7804
