"Category","연령대"
"18세 ~ 19세",4
"20세 ~ 24세",146
"25세 ~ 29세",772
"30세 ~ 34세",2884
"35세 ~ 39세",6952
"40세 ~ 44세",11436
"45세 ~ 49세",14413
"50세 ~ 54세",11465
"55세 ~ 59세",7925
"60세 ~ 64세",3962
"65세 ~ 69세",2592
"70세 ~ 74세",1281
"75세 이상",602
