"Category","연령대"
"18세 ~ 19세",1
"20세 ~ 24세",141
"25세 ~ 29세",623
"30세 ~ 34세",1920
"35세 ~ 39세",3459
"40세 ~ 44세",4474
"45세 ~ 49세",5635
"50세 ~ 54세",4967
"55세 ~ 59세",3901
"60세 ~ 64세",2024
"65세 ~ 69세",1283
"70세 ~ 74세",750
"75세 이상",375
