"Category","연령대"
"20세 ~ 24세",41
"25세 ~ 29세",231
"30세 ~ 34세",572
"35세 ~ 39세",955
"40세 ~ 44세",1154
"45세 ~ 49세",1665
"50세 ~ 54세",1481
"55세 ~ 59세",1279
"60세 ~ 64세",667
"65세 ~ 69세",423
"70세 ~ 74세",278
"75세 이상",156
