"Category","연령대"
"18세 ~ 19세",25
"20세 ~ 24세",375
"25세 ~ 29세",1205
"30세 ~ 34세",2551
"35세 ~ 39세",5254
"40세 ~ 44세",8566
"45세 ~ 49세",14154
"50세 ~ 54세",14546
"55세 ~ 59세",13678
"60세 ~ 64세",7723
"65세 ~ 69세",5008
"70세 ~ 74세",2547
"75세 이상",1163
