"Category","연령대"
"18세 ~ 19세",1
"20세 ~ 24세",48
"25세 ~ 29세",330
"30세 ~ 34세",1896
"35세 ~ 39세",6291
"40세 ~ 44세",8006
"45세 ~ 49세",6139
"50세 ~ 54세",3581
"55세 ~ 59세",2670
"60세 ~ 64세",1722
"65세 ~ 69세",1408
"70세 ~ 74세",807
"75세 이상",414
