"Category","연령대"
"18세 ~ 19세",85
"20세 ~ 24세",1703
"25세 ~ 29세",8237
"30세 ~ 34세",44747
"35세 ~ 39세",137179
"40세 ~ 44세",147677
"45세 ~ 49세",97267
"50세 ~ 54세",50928
"55세 ~ 59세",34286
"60세 ~ 64세",20658
"65세 ~ 69세",14835
"70세 ~ 74세",6708
"75세 이상",2574
