"Category","연령대"
"18세 ~ 19세",5
"20세 ~ 24세",119
"25세 ~ 29세",803
"30세 ~ 34세",3763
"35세 ~ 39세",10984
"40세 ~ 44세",13453
"45세 ~ 49세",10257
"50세 ~ 54세",6365
"55세 ~ 59세",4656
"60세 ~ 64세",2809
"65세 ~ 69세",2070
"70세 ~ 74세",1070
"75세 이상",465
