"Category","연령대"
"18세 ~ 19세",19
"20세 ~ 24세",324
"25세 ~ 29세",1030
"30세 ~ 34세",2059
"35세 ~ 39세",4416
"40세 ~ 44세",7418
"45세 ~ 49세",12505
"50세 ~ 54세",12934
"55세 ~ 59세",12041
"60세 ~ 64세",6780
"65세 ~ 69세",4330
"70세 ~ 74세",2103
"75세 이상",899
