"Category","연령대"
"18세 ~ 19세",51
"20세 ~ 24세",1212
"25세 ~ 29세",4193
"30세 ~ 34세",10001
"35세 ~ 39세",20982
"40세 ~ 44세",35960
"45세 ~ 49세",50502
"50세 ~ 54세",45353
"55세 ~ 59세",36198
"60세 ~ 64세",19856
"65세 ~ 69세",12826
"70세 ~ 74세",6112
"75세 이상",2466
