"Category","연령대"
"18세 ~ 19세",51114
"20세 ~ 24세",161338
"25세 ~ 29세",177446
"30세 ~ 34세",268704
"35세 ~ 39세",420997
"40세 ~ 44세",627498
"45세 ~ 49세",859019
"50세 ~ 54세",776485
"55세 ~ 59세",659337
"60세 ~ 64세",402713
"65세 ~ 69세",281415
"70세 ~ 74세",143160
"75세 이상",76501
