"Category","연령대"
"18세 ~ 19세",34
"20세 ~ 24세",589
"25세 ~ 29세",2061
"30세 ~ 34세",5755
"35세 ~ 39세",12986
"40세 ~ 44세",21429
"45세 ~ 49세",29965
"50세 ~ 54세",28319
"55세 ~ 59세",24003
"60세 ~ 64세",13574
"65세 ~ 69세",8666
"70세 ~ 74세",4497
"75세 이상",2008
