"Category","연령대"
"18세 ~ 19세",26
"20세 ~ 24세",1029
"25세 ~ 29세",4989
"30세 ~ 34세",13878
"35세 ~ 39세",27904
"40세 ~ 44세",42622
"45세 ~ 49세",55035
"50세 ~ 54세",47711
"55세 ~ 59세",37451
"60세 ~ 64세",20250
"65세 ~ 69세",12965
"70세 ~ 74세",6294
"75세 이상",2632
