"Category","연령대"
"18세 ~ 19세",1
"20세 ~ 24세",97
"25세 ~ 29세",597
"30세 ~ 34세",2282
"35세 ~ 39세",5429
"40세 ~ 44세",7632
"45세 ~ 49세",9465
"50세 ~ 54세",7865
"55세 ~ 59세",6045
"60세 ~ 64세",3051
"65세 ~ 69세",1942
"70세 ~ 74세",953
"75세 이상",390
