"Category","연령대"
"18세 ~ 19세",1127
"20세 ~ 24세",9345
"25세 ~ 29세",22743
"30세 ~ 34세",54058
"35세 ~ 39세",94071
"40세 ~ 44세",123685
"45세 ~ 49세",143302
"50세 ~ 54세",110153
"55세 ~ 59세",79958
"60세 ~ 64세",42210
"65세 ~ 69세",26010
"70세 ~ 74세",11836
"75세 이상",5437
