"Category","연령대"
"20세 ~ 24세",49
"25세 ~ 29세",268
"30세 ~ 34세",740
"35세 ~ 39세",1637
"40세 ~ 44세",2551
"45세 ~ 49세",3815
"50세 ~ 54세",3659
"55세 ~ 59세",3098
"60세 ~ 64세",1614
"65세 ~ 69세",921
"70세 ~ 74세",464
"75세 이상",166
