"Category","연령대"
"18세 ~ 19세",2
"20세 ~ 24세",68
"25세 ~ 29세",289
"30세 ~ 34세",1094
"35세 ~ 39세",3062
"40세 ~ 44세",5132
"45세 ~ 49세",7085
"50세 ~ 54세",6530
"55세 ~ 59세",5374
"60세 ~ 64세",3210
"65세 ~ 69세",2330
"70세 ~ 74세",1431
"75세 이상",782
