"Category","연령대"
"18세 ~ 19세",895
"20세 ~ 24세",7086
"25세 ~ 29세",13445
"30세 ~ 34세",33037
"35세 ~ 39세",75301
"40세 ~ 44세",116707
"45세 ~ 49세",152788
"50세 ~ 54세",133058
"55세 ~ 59세",110069
"60세 ~ 64세",69387
"65세 ~ 69세",56301
"70세 ~ 74세",33506
"75세 이상",23012
