"Category","연령대"
"18세 ~ 19세",33
"20세 ~ 24세",610
"25세 ~ 29세",2171
"30세 ~ 34세",5951
"35세 ~ 39세",13322
"40세 ~ 44세",21866
"45세 ~ 49세",30469
"50세 ~ 54세",28780
"55세 ~ 59세",24252
"60세 ~ 64세",13729
"65세 ~ 69세",9046
"70세 ~ 74세",4839
"75세 이상",2279
