"Category","연령대"
"18세 ~ 19세",51
"20세 ~ 24세",1275
"25세 ~ 29세",4428
"30세 ~ 34세",10383
"35세 ~ 39세",21552
"40세 ~ 44세",36768
"45세 ~ 49세",51379
"50세 ~ 54세",45951
"55세 ~ 59세",36605
"60세 ~ 64세",20191
"65세 ~ 69세",13473
"70세 ~ 74세",6701
"75세 이상",2908
