"Category","연령대"
"18세 ~ 19세",464
"20세 ~ 24세",3577
"25세 ~ 29세",8267
"30세 ~ 34세",16587
"35세 ~ 39세",32775
"40세 ~ 44세",67567
"45세 ~ 49세",122997
"50세 ~ 54세",136365
"55세 ~ 59세",122499
"60세 ~ 64세",63929
"65세 ~ 69세",34019
"70세 ~ 74세",13412
"75세 이상",5509
